county_desc,race_code,DEM,GRE,LIB,NLB,REP,UNA
DURHAM,P,5.0,0.0,0.0,0.0,0.0,6.0
DURHAM,U,3510.0,2.0,44.0,3.0,506.0,4893.0
DURHAM,W,17635.0,13.0,297.0,27.0,6835.0,13759.0
EDGECOMBE,A,6.0,1.0,1.0,0.0,1.0,2.0
EDGECOMBE,B,6929.0,0.0,5.0,7.0,146.0,591.0
EDGECOMBE,I,7.0,0.0,0.0,0.0,5.0,5.0
EDGECOMBE,M,19.0,0.0,0.0,0.0,2.0,20.0
EDGECOMBE,O,107.0,0.0,0.0,1.0,43.0,82.0
EDGECOMBE,P,0.0,0.0,0.0,0.0,0.0,1.0
EDGECOMBE,U,189.0,0.0,3.0,0.0,113.0,536.0
EDGECOMBE,W,1258.0,1.0,17.0,3.0,1978.0,1080.0
FORSYTH,A,362.0,0.0,4.0,3.0,166.0,610.0
FORSYTH,B,15438.0,4.0,78.0,30.0,526.0,5049.0
FORSYTH,I,61.0,0.0,3.0,0.0,49.0,66.0
FORSYTH,M,206.0,0.0,9.0,0.0,46.0,229.0
FORSYTH,O,1336.0,1.0,29.0,22.0,531.0,1509.0
FORSYTH,P,3.0,0.0,0.0,0.0,1.0,9.0
FORSYTH,U,2244.0,0.0,55.0,2.0,1313.0,5199.0
FORSYTH,W,12208.0,14.0,368.0,42.0,20004.0,19237.0
FRANKLIN,A,22.0,1.0,0.0,0.0,24.0,40.0
FRANKLIN,B,2967.0,1.0,13.0,5.0,73.0,779.0
FRANKLIN,I,19.0,0.0,0.0,0.0,7.0,25.0
FRANKLIN,M,16.0,0.0,1.0,0.0,12.0,40.0
FRANKLIN,O,184.0,1.0,7.0,3.0,127.0,320.0
FRANKLIN,P,0.0,0.0,0.0,0.0,0.0,1.0
FRANKLIN,U,365.0,1.0,9.0,1.0,389.0,748.0
FRANKLIN,W,1981.0,0.0,102.0,5.0,4555.0,3942.0
GASTON,A,125.0,0.0,3.0,2.0,107.0,231.0
GASTON,B,6528.0,6.0,38.0,26.0,297.0,2287.0
GASTON,I,27.0,0.0,2.0,0.0,31.0,53.0
GASTON,M,94.0,0.0,0.0,0.0,32.0,92.0
GASTON,O,602.0,2.0,20.0,12.0,285.0,919.0
GASTON,P,1.0,0.0,0.0,0.0,0.0,0.0
GASTON,U,811.0,0.0,40.0,1.0,1172.0,2232.0
GASTON,W,5903.0,8.0,290.0,46.0,16201.0,14182.0
GATES,A,3.0,0.0,0.0,0.0,1.0,1.0
GATES,B,610.0,0.0,1.0,0.0,25.0,130.0
GATES,I,1.0,0.0,0.0,0.0,2.0,0.0
GATES,M,6.0,0.0,0.0,0.0,3.0,7.0
GATES,O,10.0,0.0,0.0,0.0,7.0,9.0
GATES,U,53.0,0.0,0.0,0.0,62.0,80.0
GATES,W,361.0,1.0,9.0,3.0,505.0,855.0
GRAHAM,A,2.0,0.0,0.0,0.0,3.0,6.0
GRAHAM,B,2.0,0.0,0.0,0.0,1.0,2.0
GRAHAM,I,39.0,0.0,2.0,0.0,15.0,14.0
GRAHAM,M,0.0,0.0,0.0,0.0,1.0,2.0
GRAHAM,O,2.0,0.0,1.0,0.0,5.0,8.0
GRAHAM,U,9.0,0.0,1.0,0.0,18.0,31.0
GRAHAM,W,193.0,0.0,7.0,0.0,738.0,573.0
GRANVILLE,A,21.0,0.0,0.0,0.0,14.0,45.0
GRANVILLE,B,2750.0,1.0,4.0,7.0,81.0,471.0
GRANVILLE,I,10.0,0.0,0.0,0.0,9.0,12.0
GRANVILLE,M,32.0,0.0,1.0,0.0,9.0,20.0
GRANVILLE,O,147.0,0.0,2.0,2.0,78.0,158.0
GRANVILLE,P,0.0,0.0,0.0,0.0,1.0,1.0
GRANVILLE,U,231.0,0.0,8.0,3.0,257.0,582.0
GRANVILLE,W,1787.0,1.0,43.0,9.0,2582.0,3201.0
GREENE,A,3.0,0.0,0.0,0.0,2.0,2.0
GREENE,B,1226.0,0.0,0.0,2.0,27.0,138.0
GREENE,I,2.0,0.0,0.0,0.0,1.0,3.0
GREENE,M,3.0,0.0,0.0,0.0,0.0,3.0
GREENE,O,75.0,0.0,2.0,0.0,23.0,65.0
GREENE,U,86.0,1.0,1.0,0.0,61.0,128.0
